名称,创建时间,标签,编号
幽雾化形,2026年2月5日 15:12,培养素材,112134
幽雾片甲,2026年2月5日 15:12,培养素材,112135
毁损机轴,2026年2月5日 15:12,培养素材,112122
幽雾兜盔,2026年2月5日 15:12,培养素材,112136
精制机轴,2026年2月5日 15:12,培养素材,112124
加固机轴,2026年2月5日 15:12,培养素材,112123
凛风奔狼的始龀,2026年2月5日 15:20,武器突破素材,114005
凛风奔狼的裂齿,2026年2月5日 15:20,武器突破素材,114006
凛风奔狼的断牙,2026年2月5日 15:20,武器突破素材,114007
地脉的旧枝,2026年2月5日 15:20,培养素材,112020
凛风奔狼的怀乡,2026年2月5日 15:20,武器突破素材,114008
地脉的新芽,2026年2月5日 15:20,培养素材,112022
地脉的枯叶,2026年2月5日 15:20,培养素材,112021
折光的胚芽,2026年2月5日 15:31,培养素材,112116
惑光的阔叶,2026年2月5日 15:31,培养素材,112117
迷光的蜷叶之心,2026年2月5日 15:31,培养素材,112118
高塔孤王的破瓦,2026年2月5日 15:37,武器突破素材,114001
高塔孤王的残垣,2026年2月5日 15:37,武器突破素材,114002
高塔孤王的断片,2026年2月5日 15:37,武器突破素材,114003
黑铜号角,2026年2月5日 15:37,培养素材,112015
沉重号角,2026年2月5日 15:37,培养素材,112014
高塔孤王的碎梦,2026年2月5日 15:37,武器突破素材,114004
黑晶号角,2026年2月5日 15:37,培养素材,112016
孤云寒林的光砂,2026年2月5日 19:46,武器突破素材,114013
孤云寒林的辉岩,2026年2月5日 19:46,武器突破素材,114014
孤云寒林的圣骸,2026年2月5日 19:46,武器突破素材,114015
孤云寒林的神体,2026年2月5日 19:46,武器突破素材,114016
特工祭刀,2026年2月5日 19:46,培养素材,112030
猎兵祭刀,2026年2月5日 19:46,培养素材,112029
督察长祭刀,2026年2月5日 19:46,培养素材,112031
污秽的面具,2026年2月5日 19:46,培养素材,112006
破损的面具,2026年2月5日 19:46,培养素材,112005
不祥的面具,2026年2月5日 19:46,培养素材,112007
狮牙斗士的枷锁,2026年2月5日 20:18,武器突破素材,114009
狮牙斗士的镣铐,2026年2月5日 20:18,武器突破素材,114011
狮牙斗士的铁链,2026年2月5日 20:18,武器突破素材,114010
狮牙斗士的理想,2026年2月5日 20:18,武器突破素材,114012
混沌炉心,2026年2月5日 20:18,培养素材,112025
混沌回路,2026年2月5日 20:18,培养素材,112024
混沌装置,2026年2月5日 20:18,培养素材,112023
藏银鸦印,2026年2月5日 20:18,培养素材,112036
寻宝鸦印,2026年2月5日 20:18,培养素材,112035
攫金鸦印,2026年2月5日 20:18,培养素材,112037
破旧的刀镡,2026年2月5日 20:27,培养素材,112044
影打刀镡,2026年2月5日 20:27,培养素材,112045
名刀镡,2026年2月5日 20:27,培养素材,112046
脆弱的骨片,2026年2月5日 20:45,培养素材,112041
结实的骨片,2026年2月5日 20:45,培养素材,112042
石化的骨片,2026年2月5日 20:45,培养素材,112043
雾海云间的铅丹,2026年2月5日 21:02,武器突破素材,114017
雾海云间的汞丹,2026年2月5日 21:02,武器突破素材,114018
雾海云间的金丹,2026年2月5日 21:02,武器突破素材,114019
雾虚草囊,2026年2月5日 21:02,培养素材,112027
雾海云间的转还,2026年2月5日 21:02,武器突破素材,114020
雾虚花粉,2026年2月5日 21:02,培养素材,112026
雾虚灯芯,2026年2月5日 21:02,培养素材,112028
失光块骨,2026年2月5日 21:12,培养素材,112131
稀光遗骼,2026年2月5日 21:13,培养素材,112132
繁光躯外骸,2026年2月5日 21:13,培养素材,112133
残毁的剑柄,2026年2月5日 21:21,培养素材,112098
未熄的剑柄,2026年2月5日 21:21,培养素材,112100
裂断的剑柄,2026年2月5日 21:21,培养素材,112099
残毁的横脊,2026年2月8日 19:32,培养素材,112074
锲纹的横脊,2026年2月8日 19:32,培养素材,112076
密固的横脊,2026年2月8日 19:32,培养素材,112075
浮游幽核,2026年2月8日 19:32,培养素材,112054
浮游干核,2026年2月8日 19:32,培养素材,112053
浮游晶化核,2026年2月8日 19:32,培养素材,112055
胡萝卜,2026年2月8日 20:09,食材,100013
酸奶油,2026年2月8日 20:09,食材,110015
卷心菜,2026年2月8日 20:09,食材,100018
循环式军用月矩核心,2026年2月8日 20:13,世界boss素材,113080
「乐园」的教导,2026年2月8日 20:13,天赋素材,104359
「乐园」的指引,2026年2月8日 20:13,天赋素材,104360
「乐园」的哲学,2026年2月8日 20:13,天赋素材,104361
松珀香,2026年2月8日 20:13,地区特产,101269
今昔剧画之恶尉,2026年2月8日 20:36,武器突破素材,114033
今昔剧画之鬼人,2026年2月8日 20:36,武器突破素材,114036
今昔剧画之虎啮,2026年2月8日 20:36,武器突破素材,114034
今昔剧画之一角,2026年2月8日 20:36,武器突破素材,114035
混沌机关,2026年2月8日 20:36,培养素材,112047
混沌真眼,2026年2月8日 20:36,培养素材,112049
混沌枢纽,2026年2月8日 20:36,培养素材,112048
